2016-12-23 11:33:57,396 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,396 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,396 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,396 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,397 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,396 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,396 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,399 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,401 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,402 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,402 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 11:33:57,402 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:13:57,134 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:13:57,291 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-28
2016-12-23 12:14:57,136 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:14:57,254 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-30
2016-12-23 12:15:57,135 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
