2017-06-12 21:07:08,381 | DEBUG | Creating shared instance of singleton bean 'exceptionResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,381 | DEBUG | Creating instance of bean 'exceptionResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,382 | DEBUG | Eagerly caching bean 'exceptionResolver' to allow for resolving potential circular references | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,382 | TRACE | Getting BeanInfo for class [org.springframework.web.servlet.handler.SimpleMappingExceptionResolver] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Caching PropertyDescriptors for class [org.springframework.web.servlet.handler.SimpleMappingExceptionResolver] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'class' of type [java.lang.Class] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'defaultErrorView' of type [java.lang.String] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'defaultStatusCode' of type [int] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'exceptionAttribute' of type [java.lang.String] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'exceptionMappings' of type [java.util.Properties] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'mappedHandlerClasses' of type [[Ljava.lang.Class;] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'mappedHandlers' of type [java.util.Set] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'order' of type [int] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'statusCodes' of type [java.util.Properties] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | TRACE | Found bean property 'warnLogCategory' of type [java.lang.String] | org.springframework.beans.CachedIntrospectionResults | GFGXDB.TEST1
2017-06-12 21:07:08,389 | DEBUG | Finished creating instance of bean 'exceptionResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,389 | DEBUG | Unable to locate LifecycleProcessor with name 'lifecycleProcessor': using default [org.springframework.context.support.DefaultLifecycleProcessor@27a2d0a] | org.springframework.web.context.support.XmlWebApplicationContext | GFGXDB.TEST1
2017-06-12 21:07:08,389 | DEBUG | loaded class org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping from ContextLoader@ActiveMQ Console([file:/D:/workspace/duplex-oracle-server/webapps/admin/WEB-INF/classes/]) / sun.misc.Launcher$AppClassLoader@c387f44 | org.eclipse.jetty.util.log | GFGXDB.TEST1
